game_id,season,date,time_utc,start_time_iso,home_team,away_team,opponent,designation,venue,location,status,home_score,away_score,tickets_url
game-vs-st-joes-on-11032023-lncalx7o,2023-2024,2023-11-03,18:45:00,2023-11-03T18:45:00Z,St. Joes,East Carolina University,St. Joes,Away,"The St. James (6805 Industrial Rd. Springfield, VA 22151)","The St. James (6805 Industrial Rd. Springfield, VA 22151)",W,3,4,
game-vs-charlotte-on-11042023-lncamkln,2023-2024,2023-11-05,03:30:00,2023-11-05T03:30:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,"The St. James (6805 Industrial Rd. Springfield, VA 22151)","The St. James (6805 Industrial Rd. Springfield, VA 22151)",W,2,6,
game-vs-duke-on-11052023-lncanszc,2023-2024,2023-11-05,12:15:00,2023-11-05T12:15:00Z,Duke University,East Carolina University,Duke University,Away,"The St. James (6805 Industrial Rd. Springfield, VA 22151)","The St. James (6805 Industrial Rd. Springfield, VA 22151)",L,4,3,
game-vs-west-virginia-universtiy-on-11102023-lmo354ds,2023-2024,2023-11-10,23:45:00,2023-11-10T23:45:00Z,West Virginia Universtiy,East Carolina University,West Virginia Universtiy,Away,Morgantown Ice Arena,Morgantown Ice Arena,W,2,9,
game-vs-elon-on-01122024-lrazkz3b,2023-2024,2024-01-13,03:15:00,2024-01-13T03:15:00Z,Elon University,East Carolina University,Elon University,Away,Orange County Sportsplex,"Orange County Sportsplex, 101 Meadowlands Dr, Hillsborough, NC 27278",L,7,1,
game-vs-stevenson-on-01192024-lrazm0k1,2023-2024,2024-01-19,23:00:00,2024-01-19T23:00:00Z,Stevenson,East Carolina University,Stevenson,Away,Reisterstown Sportsplex,Reisterstown Sportsplex,T,0,0,
game-vs-wake-forest-university-on-01262024-lrazpgs0,2023-2024,2024-01-26,22:30:00,2024-01-26T22:30:00Z,Wake Forest University,East Carolina University,Wake Forest University,Away,Winston-Salem Fairgrounds Annex,Winston-Salem Fairgrounds Annex,L,6,3,
game-vs-elon-on-01122024-lrazq9o2,2023-2024,2024-02-04,02:15:00,2024-02-04T02:15:00Z,East Carolina University,Elon University,Elon University,Home,Carolina Ice Zone,Carolina Ice Zone,T,0,0,https://www.ecuhockey.com/tickets
game-vs-wake-forest-university-on-02102024-lrazrqyq,2023-2024,2024-02-11,02:00:00,2024-02-11T02:00:00Z,Wake Forest University,East Carolina University,Wake Forest University,Away,Winston-Salem Fairgrounds Annex,Winston-Salem Fairgrounds Annex,W,3,4,
game-vs-charlotte-on-02152024-lsj9ioo4,2023-2024,2024-02-16,00:30:00,2024-02-16T00:30:00Z,UNC Charlotte,East Carolina University,UNC Charlotte,Away,Winston-Salem Fairgrounds Annex,Winston-Salem Fairgrounds Annex,L,7,4,
